項次,出入口名稱,出入口編號,經度,緯度,線,站
1,頂埔站出口1,1,121.418218,24.959306,blue,1
2,頂埔站出口2,2,121.419,24.95931,blue,1
3,頂埔站出口3,3,121.4196,24.95962,blue,1
4,頂埔站出口4,4,121.4201,24.96039,blue,1
5,松山機場站出口1,1,121.552335,25.063717,brown,13
6,松山機場站出口2,2,121.551294,25.063673,brown,13
7,松山機場站出口3,3,121.552241,25.062923,brown,13
8,中山國中站出口,0,121.544031,25.060889,brown,12
9,忠孝復興站出口1,1,121.543143,25.041797,brown,10
10,忠孝復興站出口2,2,121.543422,25.041355,brown,10
11,忠孝復興站出口3,3,121.544806,25.041467,brown,10
12,忠孝復興站出口4,4,121.54506,25.041772,brown,10
13,忠孝復興站出口5,5,121.543985,25.04202,brown,10
9,忠孝復興站出口1,1,121.543143,25.041797,blue,15
10,忠孝復興站出口2,2,121.543422,25.041355,blue,15
11,忠孝復興站出口3,3,121.544806,25.041467,blue,15
12,忠孝復興站出口4,4,121.54506,25.041772,blue,15
13,忠孝復興站出口5,5,121.543985,25.04202,blue,15
14,大安站出口1,1,121.541949,25.033508,red,5
15,大安站出口2,2,121.541826,25.033515,red,5
16,大安站出口3,3,121.54233,25.033241,red,5
17,大安站出口4,4,121.544057,25.033066,red,5
18,大安站出口5,5,121.543719,25.032862,red,5
19,大安站出口6,6,121.543749,25.034006,red,5
14,大安站出口1,1,121.541949,25.033508,brown,9
15,大安站出口2,2,121.541826,25.033515,brown,9
16,大安站出口3,3,121.54233,25.033241,brown,9
17,大安站出口4,4,121.544057,25.033066,brown,9
18,大安站出口5,5,121.543719,25.032862,brown,9
19,大安站出口6,6,121.543749,25.034006,brown,9
20,科技大樓站出口,0,121.543636,25.026154,brown,8
21,六張犁站出口,0,121.552737,25.023852,brown,7
22,麟光站出口,0,121.558606,25.018554,brown,6
23,辛亥站出口,0,121.557021,25.005119,brown,5
24,萬芳醫院站出口,0,121.557737,24.999383,brown,4
25,萬芳社區站出口,0,121.568409,24.99858,brown,3
26,木柵站出口,0,121.573417,24.998174,brown,2
27,動物園站出口1,1,121.579916,24.99825,brown,1
28,動物園站出口2,2,121.579417,24.997948,brown,1
29,大直站出口1,1,121.547104,25.080118,brown,14
30,大直站出口2,2,121.546823,25.079584,brown,14
31,大直站出口3,3,121.546901,25.07931,brown,14
32,劍南路站出口1,1,121.555226,25.085174,brown,15
33,劍南路站出口2,2,121.555097,25.084754,brown,15
34,劍南路站出口3,3,121.556098,25.084484,brown,15
35,西湖站出口1,1,121.566647,25.082339,brown,16
36,西湖站出口2,2,121.567141,25.082023,brown,16
37,港墘站出口1,1,121.57556,25.080152,brown,17
38,港墘站出口2,2,121.574704,25.080065,brown,17
